Date,Clicks,Impressions,CTR,Position
2026-05-12,35,1207,2.9%,14.3
2026-05-13,43,1581,2.72%,22
2026-05-14,31,1967,1.58%,30
2026-05-15,23,1467,1.57%,23.5
2026-05-16,27,979,2.76%,18.4
2026-05-17,17,1206,1.41%,22.6
2026-05-18,48,1293,3.71%,18
2026-05-19,46,1155,3.98%,15.3
2026-05-20,45,1859,2.42%,15.6
2026-05-21,33,2299,1.44%,13.4
2026-05-22,34,2104,1.62%,18.5
2026-05-23,25,1690,1.48%,16.3
2026-05-24,27,2622,1.03%,22.5
2026-05-25,38,2346,1.62%,14.3
2026-05-26,42,2282,1.84%,13.9
2026-05-27,28,2250,1.24%,12.3
2026-05-28,32,2270,1.41%,14.9
2026-05-29,41,2105,1.95%,14.9
2026-05-30,44,1896,2.32%,12.1
2026-05-31,44,2444,1.8%,17.4
2026-06-01,48,2573,1.87%,11.6
2026-06-02,41,2272,1.8%,10.8
2026-06-03,41,2376,1.73%,11.1
2026-06-04,36,2311,1.56%,12.8
2026-06-05,41,2181,1.88%,13
2026-06-06,37,2021,1.83%,12.2
2026-06-07,41,2885,1.42%,22.6
2026-06-08,70,2764,2.53%,12.2
